transaction_id,is_fraud,lgb_risk_score,lgb_prediction,risk_tier
TXN_01977746,1,99.99999942329806,1,Block
TXN_01975931,1,99.99999952780247,1,Block
TXN_01999284,1,99.99999952779129,1,Block
TXN_01976569,1,99.99999946136107,1,Block
TXN_01984129,1,99.99999934602226,1,Block
TXN_01971124,1,99.99999934602226,1,Block
TXN_01982344,1,99.99999952774326,1,Block
TXN_01984127,1,99.99999945184364,1,Block
TXN_01999255,1,99.99999952780247,1,Block
TXN_01999316,1,99.99999951800613,1,Block
TXN_01995869,1,99.99999931795254,1,Block
TXN_01974656,1,99.9999994618872,1,Block
TXN_01992369,1,99.99999678721852,1,Block
TXN_01999626,1,99.99999945184366,1,Block
TXN_01971377,1,99.99999952780247,1,Block
TXN_01986095,1,99.9999961635827,1,Block
TXN_01985502,1,99.99999952780247,1,Block
TXN_01978450,1,99.99999952780247,1,Block
TXN_01975396,1,99.99999952780247,1,Block
TXN_01970205,1,99.99999951216756,1,Block
TXN_01987325,1,99.99999885863032,1,Block
TXN_01986637,1,99.99999678721852,1,Block
TXN_01976635,1,99.99999936020272,1,Block
TXN_01987428,1,99.99999952780247,1,Block
TXN_01988852,1,99.99999952779129,1,Block
TXN_01972259,1,99.99999937405389,1,Block
TXN_01974001,1,99.99999942048807,1,Block
TXN_01974227,1,99.9999995179947,1,Block
TXN_01979238,1,99.99999952173991,1,Block
TXN_01998181,1,99.99999952173991,1,Block
TXN_01982305,1,99.99999944480582,1,Block
TXN_01988380,1,99.99999952780247,1,Block
TXN_01970672,1,99.99999804908146,1,Block
TXN_01970416,1,99.99999933847361,1,Block
TXN_01998578,1,99.99999952780247,1,Block
TXN_01993924,1,99.99999952779129,1,Block
TXN_01996109,1,99.99999945184364,1,Block
TXN_01973686,1,99.99999945184366,1,Block
TXN_01970653,1,99.99999952779129,1,Block
TXN_01999896,1,99.99999937509398,1,Block
TXN_01997747,1,99.99999616358353,1,Block
TXN_01973314,1,99.99999946591444,1,Block
TXN_01993103,1,99.9999993244372,1,Block
TXN_01972722,1,99.99999952775447,1,Block
TXN_01988565,1,99.9999994232981,1,Block
TXN_01978496,1,99.99999952780247,1,Block
TXN_01991883,1,99.99999949007217,1,Block
TXN_01992623,1,99.99999951794567,1,Block
TXN_01977734,1,99.99999936116657,1,Block
TXN_01980850,1,99.99999938251038,1,Block
TXN_01985143,1,99.99999947657423,1,Block
TXN_01989678,1,99.99999952779129,1,Block
TXN_01983358,1,99.99999949538218,1,Block
TXN_01984033,1,99.99999952780247,1,Block
TXN_01973027,1,99.99999952780247,1,Block
TXN_01989673,1,99.99999950969271,1,Block
TXN_01986130,1,99.99999948486085,1,Block
TXN_01992079,1,99.99999952779129,1,Block
TXN_01983529,1,99.99999937913637,1,Block
TXN_01981317,1,99.9999994517879,1,Block
TXN_01973080,1,99.9999990960434,1,Block
TXN_01991170,1,99.99999952780247,1,Block
TXN_01975565,1,99.99999950208567,1,Block
TXN_01990417,1,99.99999639843107,1,Block
TXN_01982023,1,99.99999950208567,1,Block
TXN_01990290,1,99.99999946895488,1,Block
TXN_01991073,1,99.9999994156958,1,Block
TXN_01981564,1,99.99999952774326,1,Block
TXN_01995231,1,99.99999678721852,1,Block
TXN_01977875,1,99.99999945201856,1,Block
TXN_01983461,1,99.99999947872679,1,Block
TXN_01993424,1,99.99999668117748,1,Block
TXN_01977514,1,99.99999952780247,1,Block
TXN_01998761,1,99.99999949952063,1,Block
TXN_01982307,1,99.99999947946614,1,Block
TXN_01976506,1,99.99999948891545,1,Block
TXN_01981202,1,99.99999948748186,1,Block
TXN_01974472,1,99.99999945184366,1,Block
TXN_01989160,1,99.99999627040273,1,Block
TXN_01989734,1,99.99999917391774,1,Block
TXN_01971063,1,99.9999994435828,1,Block
TXN_01996453,1,99.99999949492042,1,Block
TXN_01976728,1,99.99999948748186,1,Block
TXN_01985999,1,99.9999994485267,1,Block
TXN_01994772,1,99.99999952780247,1,Block
TXN_01980070,1,99.99999952173988,1,Block
TXN_01972682,1,99.99999936039438,1,Block
TXN_01981796,1,99.99999948721268,1,Block
TXN_01994757,1,99.99999952780247,1,Block
TXN_01972391,1,99.999999503597,1,Block
TXN_01985940,1,99.9999994232981,1,Block
TXN_01986998,1,99.99999948319712,1,Block
TXN_01988411,1,99.99999939237469,1,Block
TXN_01974094,1,99.99999952780247,1,Block
TXN_01997102,1,99.99999944416007,1,Block
TXN_01990229,1,99.9999995155057,1,Block
TXN_01982047,1,99.9999995179947,1,Block
TXN_01987413,1,99.99999668117748,1,Block
TXN_01983876,1,99.99999942830229,1,Block
TXN_01992601,1,99.9999994874697,1,Block
TXN_01988338,1,99.99999952780247,1,Block
TXN_01997764,1,99.99999950970432,1,Block
TXN_01986337,1,99.99999950021609,1,Block
TXN_01980938,1,99.99999885863035,1,Block
TXN_01979178,1,99.99999948106064,1,Block
TXN_01971397,1,99.99999952780247,1,Block
TXN_01996862,1,99.99998078505844,1,Block
TXN_01981014,1,99.99999952780247,1,Block
TXN_01994103,1,99.99999952779129,1,Block
TXN_01981807,1,99.99999924268549,1,Block
TXN_01989641,1,99.99999952780247,1,Block
TXN_01987456,1,99.99999946996654,1,Block
TXN_01996399,1,99.99999950021612,1,Block
TXN_01978044,1,99.99999945184368,1,Block
TXN_01998880,1,99.99999668117748,1,Block
TXN_01973260,1,99.99999627040273,1,Block
TXN_01991169,1,99.9999967872947,1,Block
TXN_01998074,1,99.99999947657426,1,Block
TXN_01996130,1,99.99999949539415,1,Block
TXN_01990680,1,99.9999995179947,1,Block
TXN_01995729,1,99.99999952779129,1,Block
TXN_01994208,1,99.99999952780247,1,Block
TXN_01990731,1,99.99999949538218,1,Block
TXN_01990608,1,99.99999952780247,1,Block
TXN_01973261,1,99.99999951551719,1,Block
TXN_01981918,1,99.99999945184366,1,Block
TXN_01988695,1,99.99999949329839,1,Block
TXN_01998731,1,99.99999678721852,1,Block
TXN_01999628,1,99.99999673411332,1,Block
TXN_01983818,1,99.99999949539415,1,Block
TXN_01978493,1,99.99999949539415,1,Block
TXN_01998428,1,99.99999952775447,1,Block
TXN_01980119,1,99.99999952780247,1,Block
TXN_01995668,1,99.99999952173988,1,Block
TXN_01986396,1,99.99999952779129,1,Block
TXN_01980365,1,99.99999952779129,1,Block
TXN_01984734,1,99.99999952780247,1,Block
TXN_01982624,1,99.99999947946614,1,Block
TXN_01985375,1,99.99999950022796,1,Block
TXN_01986633,1,99.99999945693871,1,Block
TXN_01972304,1,99.99999947657423,1,Block
TXN_01996015,1,99.99999924909237,1,Block
TXN_01998762,1,99.99999943226648,1,Block
TXN_01978970,1,99.99999943389739,1,Block
TXN_01985580,1,99.99999952780247,1,Block
TXN_01994786,1,99.9999992704215,1,Block
TXN_01977045,1,99.99999952326988,1,Block
TXN_01975900,1,99.99999673411833,1,Block
TXN_01977239,1,99.99999928393547,1,Block
TXN_01999314,1,99.99999944141766,1,Block
