transaction_id,is_fraud,iso_risk_score,iso_prediction,risk_tier
TXN_01116777,0,48.49088552535249,1,Flag
TXN_00629922,0,48.50194089233298,1,Flag
TXN_00984009,0,57.70745903560149,1,Block
TXN_00090183,0,72.70486513553169,1,Block
TXN_01289933,0,48.33630957181685,1,Flag
TXN_01621210,0,62.01949488031922,1,Block
TXN_01234977,0,52.703927004588145,1,Block
TXN_00246241,0,49.06992380066685,1,Flag
TXN_01221368,0,51.25459850630805,1,Flag
TXN_00465486,0,50.549227989871596,1,Flag
TXN_01297805,0,62.308775584782055,1,Block
TXN_00982897,0,51.052593901532006,1,Flag
TXN_01977746,1,86.03849254571023,1,Block
TXN_01516700,0,55.015052802070095,1,Block
TXN_00114143,0,55.79618093214925,1,Block
TXN_01335244,0,51.939906466705814,1,Block
TXN_00550010,0,50.822684111400505,1,Flag
TXN_01471095,0,57.88173763503149,1,Block
TXN_01543810,0,67.94652206615918,1,Block
TXN_00745584,0,54.2461094643285,1,Block
TXN_01527539,0,47.98175945653787,1,Flag
TXN_01308098,0,74.31630857865166,1,Block
TXN_00882241,0,56.315099867167234,1,Block
TXN_00625925,0,51.446154392540514,1,Flag
TXN_00270644,0,54.003440588798306,1,Block
TXN_01385577,0,55.83099122658618,1,Block
TXN_00516359,0,54.41658653269536,1,Block
TXN_01882755,0,60.87733294393547,1,Block
TXN_00035069,0,47.386347850281076,1,Flag
TXN_01597885,0,57.17884230204508,1,Block
TXN_00176482,0,51.892788752489956,1,Block
TXN_01171622,0,49.89051506273499,1,Flag
TXN_01975931,1,91.17480732380676,1,Block
TXN_00768512,0,59.89987297717285,1,Block
TXN_00754129,0,55.766927181036266,1,Block
TXN_01789588,0,57.08307911552129,1,Block
TXN_00639504,0,54.80545593556856,1,Block
TXN_01999284,1,81.04359518461794,1,Block
TXN_01514324,0,48.445317805917625,1,Flag
TXN_00652243,0,54.509110115002336,1,Block
TXN_01567477,0,55.44994447666844,1,Block
TXN_01976569,1,93.09112377097159,1,Block
TXN_01446076,0,52.05043319307826,1,Block
TXN_01559618,0,53.19968660685901,1,Block
TXN_01348398,0,62.31147966576527,1,Block
TXN_00562225,0,49.13045444166134,1,Flag
TXN_01271219,0,53.80447062062147,1,Block
TXN_01259576,0,59.61164395882618,1,Block
TXN_00088006,0,47.51278708363844,1,Flag
TXN_00208461,0,57.540700428617086,1,Block
TXN_01736919,0,50.076219696902655,1,Flag
TXN_01007653,0,50.718252827293014,1,Flag
TXN_00516559,0,58.66943158828535,1,Block
TXN_01835653,0,55.73510226689002,1,Block
TXN_00249085,0,49.55209539417872,1,Flag
